,Team_1,Team_2,Winner,Winner_Pred,Margin,Run_Margin_pred,Wick_Margin_pred,Year
529,Pakistan,Sri Lanka,Pakistan,Pakistan,83 Runs,57 Runs,6 Wickets,2017
530,South Africa,Bangladesh,South Africa,South Africa,10 Wickets,109 Runs,8 Wickets,2017
531,Pakistan,Sri Lanka,Pakistan,Pakistan,32 Runs,57 Runs,6 Wickets,2017
532,South Africa,Bangladesh,South Africa,South Africa,104 Runs,109 Runs,8 Wickets,2017
533,Pakistan,Sri Lanka,Pakistan,Pakistan,7 Wickets,57 Runs,6 Wickets,2017
534,Pakistan,Sri Lanka,Pakistan,Pakistan,7 Wickets,57 Runs,6 Wickets,2017
535,India,New Zealand,New Zealand,India,6 Wickets,52 Runs,6 Wickets,2017
536,South Africa,Bangladesh,South Africa,South Africa,200 Runs,109 Runs,8 Wickets,2017
537,Pakistan,Sri Lanka,Pakistan,Pakistan,9 Wickets,57 Runs,6 Wickets,2017
538,India,New Zealand,India,India,6 Wickets,60 Runs,7 Wickets,2017
539,India,New Zealand,India,India,6 Runs,60 Runs,7 Wickets,2017
540,India,Sri Lanka,Sri Lanka,India,7 Wickets,96 Runs,6 Wickets,2017
541,India,Sri Lanka,India,India,141 Runs,106 Runs,7 Wickets,2017
542,India,Sri Lanka,India,India,8 Wickets,106 Runs,7 Wickets,2017
543,New Zealand,Pakistan,New Zealand,New Zealand,61 Runs,47 Runs,6 Wickets,2018
544,New Zealand,Pakistan,New Zealand,New Zealand,8 Wickets,47 Runs,6 Wickets,2018
545,New Zealand,Pakistan,New Zealand,New Zealand,183 Runs,47 Runs,6 Wickets,2018
546,Australia,England,England,England,5 Wickets,33 Runs,4 Wickets,2018
547,New Zealand,Pakistan,New Zealand,New Zealand,5 Wickets,47 Runs,6 Wickets,2018
548,New Zealand,Pakistan,New Zealand,New Zealand,15 Runs,47 Runs,6 Wickets,2018
549,Australia,England,England,England,4 Wickets,33 Runs,4 Wickets,2018
550,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,163 Runs,86 Runs,7 Wickets,2018
551,Australia,England,England,England,16 Runs,33 Runs,4 Wickets,2018
552,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,10 Wickets,78 Runs,7 Wickets,2018
553,Australia,England,Australia,England,3 Wickets,47 Runs,4 Wickets,2018
554,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,79 Runs,78 Runs,7 Wickets,2018
555,Australia,England,England,England,12 Runs,33 Runs,4 Wickets,2018
556,South Africa,India,India,India,6 Wickets,67 Runs,7 Wickets,2018
557,South Africa,India,India,India,9 Wickets,67 Runs,7 Wickets,2018
558,South Africa,India,India,India,124 Runs,67 Runs,7 Wickets,2018
559,South Africa,India,South Africa,India,5 Wickets,69 Runs,7 Wickets,2018
560,South Africa,India,India,India,73 Runs,67 Runs,7 Wickets,2018
561,South Africa,India,India,India,8 Wickets,67 Runs,7 Wickets,2018
562,New Zealand,England,New Zealand,England,3 Wickets,34 Runs,5 Wickets,2018
563,New Zealand,England,England,England,6 Wickets,30 Runs,6 Wickets,2018
564,New Zealand,England,England,England,4 Runs,30 Runs,6 Wickets,2018
565,New Zealand,England,New Zealand,England,5 Wickets,34 Runs,5 Wickets,2018
566,New Zealand,England,England,England,7 Wickets,30 Runs,6 Wickets,2018
567,England,Australia,England,England,3 Wickets,59 Runs,5 Wickets,2018
568,England,Australia,England,England,38 Runs,59 Runs,5 Wickets,2018
569,England,Australia,England,England,242 Runs,59 Runs,5 Wickets,2018
570,England,Australia,England,England,6 Wickets,59 Runs,5 Wickets,2018
571,England,Australia,England,England,1 Runs,59 Runs,5 Wickets,2018
572,England,India,India,England,8 Wickets,62 Runs,7 Wickets,2018
573,England,India,England,England,86 Runs,60 Runs,7 Wickets,2018
574,England,India,England,England,8 Wickets,60 Runs,7 Wickets,2018
575,Sri Lanka,South Africa,South Africa,South Africa,5 Wickets,67 Runs,5 Wickets,2018
576,Sri Lanka,South Africa,South Africa,South Africa,4 Wickets,67 Runs,5 Wickets,2018
577,Sri Lanka,South Africa,South Africa,South Africa,78 Runs,67 Runs,5 Wickets,2018
578,Sri Lanka,South Africa,Sri Lanka,South Africa,3 Runs,69 Runs,6 Wickets,2018
579,Sri Lanka,South Africa,Sri Lanka,South Africa,178 Runs,69 Runs,6 Wickets,2018
580,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,137 Runs,86 Runs,7 Wickets,2018
581,Afghanistan,Sri Lanka,Afghanistan,Sri Lanka,91 Runs,72 Runs,7 Wickets,2018
582,India,Pakistan,India,India,8 Wickets,64 Runs,7 Wickets,2018
583,Afghanistan,Bangladesh,Afghanistan,Bangladesh,136 Runs,74 Runs,7 Wickets,2018
584,Bangladesh,India,India,India,7 Wickets,75 Runs,6 Wickets,2018
585,Afghanistan,Pakistan,Pakistan,Pakistan,3 Wickets,56 Runs,5 Wickets,2018
586,India,Pakistan,India,India,9 Wickets,64 Runs,7 Wickets,2018
587,Afghanistan,Bangladesh,Bangladesh,Bangladesh,3 Runs,55 Runs,7 Wickets,2018
588,Bangladesh,Pakistan,Bangladesh,Bangladesh,37 Runs,55 Runs,6 Wickets,2018
589,Bangladesh,India,India,India,3 Wickets,75 Runs,6 Wickets,2018
590,Sri Lanka,England,England,England,31 Runs,33 Runs,6 Wickets,2018
591,Sri Lanka,England,England,England,7 Wickets,33 Runs,6 Wickets,2018
592,Sri Lanka,England,England,England,18 Runs,33 Runs,6 Wickets,2018
593,Sri Lanka,England,Sri Lanka,England,219 Runs,41 Runs,6 Wickets,2018
594,Australia,South Africa,South Africa,South Africa,6 Wickets,29 Runs,5 Wickets,2018
595,New Zealand,Pakistan,New Zealand,New Zealand,47 Runs,47 Runs,6 Wickets,2018
596,Australia,South Africa,Australia,South Africa,7 Runs,30 Runs,5 Wickets,2018
597,New Zealand,Pakistan,Pakistan,New Zealand,6 Wickets,43 Runs,5 Wickets,2018
598,Australia,South Africa,South Africa,South Africa,40 Runs,29 Runs,5 Wickets,2018
599,New Zealand,Sri Lanka,New Zealand,New Zealand,45 Runs,65 Runs,7 Wickets,2019
600,New Zealand,Sri Lanka,New Zealand,New Zealand,21 Runs,65 Runs,7 Wickets,2019
601,New Zealand,Sri Lanka,New Zealand,New Zealand,115 Runs,65 Runs,7 Wickets,2019
602,Australia,India,Australia,India,34 Runs,52 Runs,6 Wickets,2019
603,Australia,India,India,India,6 Wickets,41 Runs,6 Wickets,2019
604,Australia,India,India,India,7 Wickets,41 Runs,6 Wickets,2019
605,South Africa,Pakistan,Pakistan,South Africa,5 Wickets,25 Runs,5 Wickets,2019
606,South Africa,Pakistan,South Africa,South Africa,5 Wickets,31 Runs,6 Wickets,2019
607,New Zealand,India,India,India,8 Wickets,52 Runs,7 Wickets,2019
608,South Africa,Pakistan,South Africa,South Africa,13 Runs,31 Runs,6 Wickets,2019
609,New Zealand,India,India,India,90 Runs,52 Runs,7 Wickets,2019
610,South Africa,Pakistan,Pakistan,South Africa,8 Wickets,25 Runs,5 Wickets,2019
611,New Zealand,India,India,India,7 Wickets,52 Runs,7 Wickets,2019
612,South Africa,Pakistan,South Africa,South Africa,7 Wickets,31 Runs,6 Wickets,2019
613,New Zealand,India,New Zealand,India,8 Wickets,41 Runs,7 Wickets,2019
614,New Zealand,India,India,India,35 Runs,52 Runs,7 Wickets,2019
615,New Zealand,Bangladesh,New Zealand,New Zealand,8 Wickets,91 Runs,7 Wickets,2019
616,New Zealand,Bangladesh,New Zealand,New Zealand,8 Wickets,91 Runs,7 Wickets,2019
617,New Zealand,Bangladesh,New Zealand,New Zealand,88 Runs,91 Runs,7 Wickets,2019
618,India,Australia,India,Australia,6 Wickets,29 Runs,6 Wickets,2019
619,South Africa,Sri Lanka,South Africa,South Africa,8 Wickets,63 Runs,8 Wickets,2019
620,India,Australia,India,Australia,8 Runs,29 Runs,6 Wickets,2019
621,South Africa,Sri Lanka,South Africa,South Africa,113 Runs,63 Runs,8 Wickets,2019
622,India,Australia,Australia,Australia,32 Runs,26 Runs,6 Wickets,2019
623,India,Australia,Australia,Australia,4 Wickets,26 Runs,6 Wickets,2019
624,South Africa,Sri Lanka,South Africa,South Africa,71 Runs,63 Runs,8 Wickets,2019
625,India,Australia,Australia,Australia,35 Runs,26 Runs,6 Wickets,2019
626,South Africa,Sri Lanka,South Africa,South Africa,6 Wickets,63 Runs,8 Wickets,2019
627,South Africa,Sri Lanka,South Africa,South Africa,41 Runs,63 Runs,8 Wickets,2019
628,Australia,Pakistan,Australia,Australia,8 Wickets,49 Runs,6 Wickets,2019
629,Australia,Pakistan,Australia,Australia,8 Wickets,49 Runs,6 Wickets,2019
630,Australia,Pakistan,Australia,Australia,80 Runs,49 Runs,6 Wickets,2019
631,Australia,Pakistan,Australia,Australia,6 Runs,49 Runs,6 Wickets,2019
632,Australia,Pakistan,Australia,Australia,20 Runs,49 Runs,6 Wickets,2019
633,England,Pakistan,England,England,12 Runs,48 Runs,5 Wickets,2019
634,England,Pakistan,England,England,6 Wickets,48 Runs,5 Wickets,2019
635,England,Pakistan,England,England,3 Wickets,48 Runs,5 Wickets,2019
636,England,Pakistan,England,England,54 Runs,48 Runs,5 Wickets,2019
637,England,South Africa,England,England,104 Runs,54 Runs,6 Wickets,2019
638,New Zealand,Sri Lanka,New Zealand,New Zealand,10 Wickets,65 Runs,7 Wickets,2019
639,Afghanistan,Australia,Australia,Australia,7 Wickets,48 Runs,6 Wickets,2019
640,Bangladesh,South Africa,Bangladesh,Bangladesh,21 Runs,51 Runs,7 Wickets,2019
641,England,Pakistan,Pakistan,England,14 Runs,37 Runs,6 Wickets,2019
642,Afghanistan,Sri Lanka,Sri Lanka,Sri Lanka,34 Runs,59 Runs,6 Wickets,2019
643,India,South Africa,India,South Africa,6 Wickets,52 Runs,6 Wickets,2019
644,Bangladesh,New Zealand,New Zealand,Bangladesh,2 Wickets,39 Runs,4 Wickets,2019
645,England,Bangladesh,England,England,106 Runs,97 Runs,7 Wickets,2019
646,Afghanistan,New Zealand,New Zealand,New Zealand,7 Wickets,45 Runs,6 Wickets,2019
647,Australia,India,India,India,36 Runs,41 Runs,6 Wickets,2019
648,Australia,Pakistan,Australia,Australia,41 Runs,49 Runs,6 Wickets,2019
649,Australia,Sri Lanka,Australia,Australia,87 Runs,50 Runs,7 Wickets,2019
650,Afghanistan,South Africa,South Africa,South Africa,9 Wickets,64 Runs,6 Wickets,2019
651,India,Pakistan,India,India,89 Runs,56 Runs,7 Wickets,2019
652,England,Afghanistan,England,England,150 Runs,115 Runs,5 Wickets,2019
653,New Zealand,South Africa,New Zealand,New Zealand,4 Wickets,35 Runs,5 Wickets,2019
654,Australia,Bangladesh,Australia,Australia,48 Runs,106 Runs,7 Wickets,2019
655,England,Sri Lanka,Sri Lanka,England,20 Runs,52 Runs,7 Wickets,2019
656,Afghanistan,India,India,India,11 Runs,63 Runs,7 Wickets,2019
657,Pakistan,South Africa,Pakistan,Pakistan,49 Runs,28 Runs,7 Wickets,2019
658,Afghanistan,Bangladesh,Bangladesh,Bangladesh,62 Runs,56 Runs,7 Wickets,2019
659,England,Australia,Australia,England,64 Runs,51 Runs,5 Wickets,2019
660,New Zealand,Pakistan,Pakistan,New Zealand,6 Wickets,43 Runs,5 Wickets,2019
661,South Africa,Sri Lanka,South Africa,South Africa,9 Wickets,63 Runs,8 Wickets,2019
662,Afghanistan,Pakistan,Pakistan,Pakistan,3 Wickets,51 Runs,5 Wickets,2019
663,Australia,New Zealand,Australia,Australia,86 Runs,68 Runs,5 Wickets,2019
664,England,India,England,England,31 Runs,53 Runs,7 Wickets,2019
665,Bangladesh,India,India,India,28 Runs,66 Runs,6 Wickets,2019
666,England,New Zealand,England,England,119 Runs,60 Runs,5 Wickets,2019
667,Bangladesh,Pakistan,Pakistan,Bangladesh,94 Runs,55 Runs,5 Wickets,2019
668,India,Sri Lanka,India,India,7 Wickets,99 Runs,6 Wickets,2019
669,Australia,South Africa,South Africa,South Africa,10 Runs,30 Runs,5 Wickets,2019
670,India,New Zealand,New Zealand,India,18 Runs,55 Runs,6 Wickets,2019
671,England,Australia,England,England,8 Wickets,52 Runs,5 Wickets,2019
672,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,91 Runs,83 Runs,7 Wickets,2019
673,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,7 Wickets,83 Runs,7 Wickets,2019
674,Sri Lanka,Bangladesh,Sri Lanka,Sri Lanka,122 Runs,83 Runs,7 Wickets,2019
675,Pakistan,Sri Lanka,Pakistan,Pakistan,67 Runs,55 Runs,6 Wickets,2019
676,Pakistan,Sri Lanka,Pakistan,Pakistan,5 Wickets,55 Runs,6 Wickets,2019
677,India,Australia,Australia,Australia,10 Wickets,26 Runs,7 Wickets,2020
678,India,Australia,India,Australia,36 Runs,29 Runs,7 Wickets,2020
679,India,Australia,India,Australia,7 Wickets,29 Runs,7 Wickets,2020
680,South Africa,England,South Africa,South Africa,7 Wickets,26 Runs,5 Wickets,2020
681,New Zealand,India,New Zealand,New Zealand,4 Wickets,40 Runs,6 Wickets,2020
682,New Zealand,India,New Zealand,New Zealand,22 Runs,40 Runs,6 Wickets,2020
683,South Africa,England,England,South Africa,2 Wickets,27 Runs,4 Wickets,2020
684,New Zealand,India,New Zealand,New Zealand,5 Wickets,40 Runs,6 Wickets,2020
685,South Africa,Australia,South Africa,South Africa,74 Runs,60 Runs,6 Wickets,2020
686,South Africa,Australia,South Africa,South Africa,6 Wickets,60 Runs,6 Wickets,2020
687,South Africa,Australia,South Africa,South Africa,6 Wickets,60 Runs,6 Wickets,2020
688,Australia,New Zealand,Australia,Australia,71 Runs,67 Runs,5 Wickets,2020
689,England,Australia,Australia,England,19 Runs,52 Runs,5 Wickets,2020
690,England,Australia,England,England,24 Runs,53 Runs,5 Wickets,2020
691,England,Australia,Australia,England,3 Wickets,52 Runs,5 Wickets,2020
692,Australia,India,Australia,Australia,66 Runs,51 Runs,5 Wickets,2020
693,Australia,India,Australia,Australia,51 Runs,51 Runs,5 Wickets,2020
694,Australia,India,India,Australia,13 Runs,41 Runs,6 Wickets,2020
695,New Zealand,Bangladesh,New Zealand,New Zealand,8 Wickets,93 Runs,6 Wickets,2021
696,New Zealand,Bangladesh,New Zealand,New Zealand,5 Wickets,93 Runs,6 Wickets,2021
697,India,England,India,India,66 Runs,45 Runs,6 Wickets,2021
698,New Zealand,Bangladesh,New Zealand,New Zealand,164 Runs,93 Runs,6 Wickets,2021
699,India,England,England,India,6 Wickets,29 Runs,6 Wickets,2021
700,India,England,India,India,7 Runs,45 Runs,6 Wickets,2021
701,South Africa,Pakistan,Pakistan,South Africa,3 Wickets,25 Runs,5 Wickets,2021
702,South Africa,Pakistan,South Africa,South Africa,17 Runs,30 Runs,5 Wickets,2021
703,South Africa,Pakistan,Pakistan,South Africa,28 Runs,25 Runs,5 Wickets,2021
704,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,33 Runs,84 Runs,6 Wickets,2021
705,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,103 Runs,84 Runs,6 Wickets,2021
706,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,97 Runs,77 Runs,6 Wickets,2021
707,England,Sri Lanka,England,England,5 Wickets,65 Runs,7 Wickets,2021
708,England,Sri Lanka,England,England,8 Wickets,65 Runs,7 Wickets,2021
709,England,Pakistan,England,England,9 Wickets,49 Runs,5 Wickets,2021
710,England,Pakistan,England,England,52 Runs,49 Runs,5 Wickets,2021
711,England,Pakistan,England,England,3 Wickets,49 Runs,5 Wickets,2021
712,Sri Lanka,India,India,India,7 Wickets,71 Runs,6 Wickets,2021
713,Sri Lanka,India,India,India,3 Wickets,71 Runs,6 Wickets,2021
714,Sri Lanka,India,Sri Lanka,India,3 Wickets,63 Runs,6 Wickets,2021
715,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,14 Runs,62 Runs,5 Wickets,2021
716,Sri Lanka,South Africa,South Africa,Sri Lanka,67 Runs,60 Runs,5 Wickets,2021
717,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,78 Runs,62 Runs,5 Wickets,2021
718,South Africa,India,South Africa,South Africa,31 Runs,62 Runs,6 Wickets,2022
719,Afghanistan,Netherlands,Afghanistan,Afghanistan,36 Runs,52 Runs,7 Wickets,2022
720,South Africa,India,South Africa,South Africa,7 Wickets,62 Runs,6 Wickets,2022
721,Afghanistan,Netherlands,Afghanistan,Afghanistan,48 Runs,52 Runs,7 Wickets,2022
722,South Africa,India,South Africa,South Africa,4 Runs,62 Runs,6 Wickets,2022
723,Afghanistan,Netherlands,Afghanistan,Afghanistan,75 Runs,52 Runs,7 Wickets,2022
724,Bangladesh,Afghanistan,Bangladesh,Bangladesh,4 Wickets,64 Runs,5 Wickets,2022
725,Bangladesh,Afghanistan,Bangladesh,Bangladesh,88 Runs,64 Runs,5 Wickets,2022
726,Bangladesh,Afghanistan,Afghanistan,Bangladesh,7 Wickets,64 Runs,5 Wickets,2022
727,South Africa,Bangladesh,Bangladesh,South Africa,38 Runs,76 Runs,8 Wickets,2022
728,South Africa,Bangladesh,South Africa,South Africa,7 Wickets,101 Runs,8 Wickets,2022
729,South Africa,Bangladesh,Bangladesh,South Africa,9 Wickets,76 Runs,8 Wickets,2022
730,New Zealand,Netherlands,New Zealand,New Zealand,7 Wickets,96 Runs,6 Wickets,2022
731,Pakistan,Australia,Australia,Pakistan,88 Runs,46 Runs,7 Wickets,2022
732,Pakistan,Australia,Pakistan,Pakistan,6 Wickets,43 Runs,7 Wickets,2022
733,New Zealand,Netherlands,New Zealand,New Zealand,118 Runs,96 Runs,6 Wickets,2022
734,Pakistan,Australia,Pakistan,Pakistan,9 Wickets,43 Runs,7 Wickets,2022
735,New Zealand,Netherlands,New Zealand,New Zealand,115 Runs,96 Runs,6 Wickets,2022
736,Sri Lanka,Australia,Australia,Sri Lanka,2 Wickets,41 Runs,5 Wickets,2022
737,Sri Lanka,Australia,Sri Lanka,Sri Lanka,26 Runs,45 Runs,5 Wickets,2022
738,Netherlands,England,England,England,232 Runs,53 Runs,6 Wickets,2022
739,Netherlands,England,England,England,6 Wickets,53 Runs,6 Wickets,2022
740,Sri Lanka,Australia,Sri Lanka,Sri Lanka,6 Wickets,45 Runs,5 Wickets,2022
741,Sri Lanka,Australia,Sri Lanka,Sri Lanka,4 Runs,45 Runs,5 Wickets,2022
742,Netherlands,England,England,England,8 Wickets,53 Runs,6 Wickets,2022
743,Sri Lanka,Australia,Australia,Sri Lanka,4 Wickets,41 Runs,5 Wickets,2022
744,England,India,India,England,10 Wickets,62 Runs,7 Wickets,2022
745,England,India,England,England,100 Runs,62 Runs,6 Wickets,2022
746,England,India,India,England,5 Wickets,62 Runs,7 Wickets,2022
747,England,South Africa,South Africa,England,62 Runs,59 Runs,6 Wickets,2022
748,England,South Africa,England,England,118 Runs,59 Runs,6 Wickets,2022
749,Netherlands,Pakistan,Pakistan,Pakistan,16 Runs,40 Runs,6 Wickets,2022
750,Netherlands,Pakistan,Pakistan,Pakistan,7 Wickets,40 Runs,6 Wickets,2022
751,Netherlands,Pakistan,Pakistan,Pakistan,9 Runs,40 Runs,6 Wickets,2022
752,Australia,New Zealand,Australia,Australia,2 Wickets,68 Runs,5 Wickets,2022
753,Australia,New Zealand,Australia,Australia,113 Runs,68 Runs,5 Wickets,2022
754,Australia,New Zealand,Australia,Australia,25 Runs,68 Runs,5 Wickets,2022
755,India,South Africa,South Africa,India,9 Runs,57 Runs,6 Wickets,2022
756,India,South Africa,India,India,7 Wickets,52 Runs,7 Wickets,2022
757,India,South Africa,India,India,7 Wickets,52 Runs,7 Wickets,2022
758,Australia,England,Australia,Australia,6 Wickets,68 Runs,4 Wickets,2022
759,Australia,England,Australia,Australia,72 Runs,68 Runs,4 Wickets,2022
760,Australia,England,Australia,Australia,221 Runs,68 Runs,4 Wickets,2022
761,New Zealand,India,New Zealand,New Zealand,7 Wickets,47 Runs,6 Wickets,2022
762,Sri Lanka,Afghanistan,Afghanistan,Sri Lanka,60 Runs,73 Runs,4 Wickets,2022
763,Sri Lanka,Afghanistan,Sri Lanka,Sri Lanka,4 Wickets,72 Runs,4 Wickets,2022
764,Bangladesh,India,Bangladesh,India,1 Runs,50 Runs,6 Wickets,2022
765,Bangladesh,India,Bangladesh,India,5 Runs,50 Runs,6 Wickets,2022
766,Bangladesh,India,India,India,227 Runs,71 Runs,6 Wickets,2022
767,Pakistan,New Zealand,Pakistan,Pakistan,6 Wickets,54 Runs,5 Wickets,2023
768,India,Sri Lanka,India,India,67 Runs,113 Runs,6 Wickets,2023
769,Pakistan,New Zealand,New Zealand,Pakistan,79 Runs,51 Runs,5 Wickets,2023
770,India,Sri Lanka,India,India,4 Wickets,113 Runs,6 Wickets,2023
771,Pakistan,New Zealand,New Zealand,Pakistan,2 Wickets,51 Runs,5 Wickets,2023
772,India,Sri Lanka,India,India,317 Runs,113 Runs,6 Wickets,2023
773,India,New Zealand,India,India,12 Runs,66 Runs,7 Wickets,2023
774,India,New Zealand,India,India,8 Wickets,66 Runs,7 Wickets,2023
775,India,New Zealand,India,India,90 Runs,66 Runs,7 Wickets,2023
776,South Africa,England,South Africa,South Africa,27 Runs,33 Runs,5 Wickets,2023
777,South Africa,England,South Africa,South Africa,5 Wickets,33 Runs,5 Wickets,2023
778,South Africa,England,England,South Africa,59 Runs,36 Runs,4 Wickets,2023
779,Bangladesh,England,England,Bangladesh,3 Wickets,56 Runs,4 Wickets,2023
780,Bangladesh,England,England,Bangladesh,132 Runs,56 Runs,4 Wickets,2023
781,Bangladesh,England,Bangladesh,Bangladesh,50 Runs,45 Runs,4 Wickets,2023
782,India,Australia,India,India,5 Wickets,35 Runs,7 Wickets,2023
783,India,Australia,Australia,India,10 Wickets,32 Runs,7 Wickets,2023
784,India,Australia,Australia,India,21 Runs,32 Runs,7 Wickets,2023
785,New Zealand,Sri Lanka,New Zealand,New Zealand,198 Runs,87 Runs,6 Wickets,2023
786,New Zealand,Sri Lanka,New Zealand,New Zealand,6 Wickets,87 Runs,6 Wickets,2023
787,South Africa,Netherlands,South Africa,South Africa,8 Wickets,109 Runs,7 Wickets,2023
788,South Africa,Netherlands,South Africa,South Africa,146 Runs,109 Runs,7 Wickets,2023
789,Pakistan,New Zealand,Pakistan,Pakistan,5 Wickets,54 Runs,5 Wickets,2023
790,Pakistan,New Zealand,Pakistan,Pakistan,7 Wickets,54 Runs,5 Wickets,2023
791,Pakistan,New Zealand,Pakistan,Pakistan,26 Runs,54 Runs,5 Wickets,2023
792,Pakistan,New Zealand,Pakistan,Pakistan,102 Runs,54 Runs,5 Wickets,2023
793,Pakistan,New Zealand,New Zealand,Pakistan,47 Runs,51 Runs,5 Wickets,2023
